defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103680		XAO:0000124	blood	XAO:0000064	heart
http://purl.obolibrary.org/obo/XPO_0103681		XAO:0000052	cardinal vein	XAO:0003026	tail
http://purl.obolibrary.org/obo/XPO_0103682		XAO:0004013	cartilage element	XAO:0000099	branchial arch
http://purl.obolibrary.org/obo/XPO_0103683		XAO:0004314	digit-joint region	XAO:0004239	hindlimb digit 1
http://purl.obolibrary.org/obo/XPO_0103684		XAO:0004314	digit-joint region	XAO:0004412	hindlimb digit 2
http://purl.obolibrary.org/obo/XPO_0103685		XAO:0004314	digit-joint region	XAO:0004413	hindlimb digit 3
http://purl.obolibrary.org/obo/XPO_0103686		XAO:0004314	digit-joint region	XAO:0004414	hindlimb digit 4
http://purl.obolibrary.org/obo/XPO_0103687		XAO:0004314	digit-joint region	XAO:0004415	hindlimb digit 5
http://purl.obolibrary.org/obo/XPO_0103688		XAO:0004314	digit-joint region	XAO:0004478	forelimb digit 2
http://purl.obolibrary.org/obo/XPO_0103689		XAO:0004314	digit-joint region	XAO:0004479	forelimb digit 3
http://purl.obolibrary.org/obo/XPO_0103690		XAO:0004314	digit-joint region	XAO:0004480	forelimb digit 4
http://purl.obolibrary.org/obo/XPO_0103691		XAO:0004314	digit-joint region	XAO:0004481	forelimb digit 5
http://purl.obolibrary.org/obo/XPO_0103694		XAO:0004265	autopod	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103695		XAO:0004049	perichondrium	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103696		XAO:0004265	autopod	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103697		XAO:0004264	zeugopod	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0130960		XAO:0001014	melanophore	XAO:0003026	tail
http://purl.obolibrary.org/obo/XPO_0130961		XAO:0001014	melanophore	XAO:0003025	trunk
http://purl.obolibrary.org/obo/XPO_0131440		XAO:0005008	cilium	XAO:0005170	left-right organizer
http://purl.obolibrary.org/obo/XPO_0131441		XAO:0005008	cilium	XAO:0005034	neural progenitor cell
http://purl.obolibrary.org/obo/XPO_0131442		XAO:0005008	cilium	XAO:0000306	floor plate
http://purl.obolibrary.org/obo/XPO_0131443		XAO:0005008	cilium	XAO:0000010	brain
http://purl.obolibrary.org/obo/XPO_0131444		XAO:0005008	cilium	XAO:0004393	mucociliary epithelium
http://purl.obolibrary.org/obo/XPO_0131445		XAO:0005008	cilium	XAO:0002000	pronephric kidney
http://purl.obolibrary.org/obo/XPO_0131446		XAO:0005008	cilium	XAO:0000062	pronephric nephrostome
http://purl.obolibrary.org/obo/XPO_0131447		XAO:0005008	cilium	XAO:0004518	proximal tubule
http://purl.obolibrary.org/obo/XPO_0131448		XAO:0005008	cilium	XAO:0000275	olfactory pit
http://purl.obolibrary.org/obo/XPO_0131449		XAO:0005008	cilium	XAO:0004130	auditory hair cell
http://purl.obolibrary.org/obo/XPO_0131450		XAO:0005008	cilium	XAO:0004002	lateral line
http://purl.obolibrary.org/obo/XPO_0131451		XAO:0005008	cilium	XAO:0000125	alimentary system
http://purl.obolibrary.org/obo/XPO_0131452		XAO:0005008	cilium	XAO:0000128	stomach
http://purl.obolibrary.org/obo/XPO_0131453		XAO:0005008	cilium	XAO:0000127	esophagus
http://purl.obolibrary.org/obo/XPO_0133476		XAO:0005008	cilium	XAO:0005137	monociliated cell
http://purl.obolibrary.org/obo/XPO_0133477		XAO:0005008	cilium	XAO:0005139	multiciliated cell
http://purl.obolibrary.org/obo/XPO_0133478		XAO:0005008	cilium	XAO:0000031	ciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133479		XAO:0005008	cilium	XAO:0004517	ciliated non-epidermal cell
http://purl.obolibrary.org/obo/XPO_0133480		XAO:0005008	cilium	XAO:0005178	monociliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0133481		XAO:0005008	cilium	XAO:0005179	multiciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0139710		XAO:0000135	gall bladder	XAO:0005210	left side
http://purl.obolibrary.org/obo/XPO_0139711		XAO:0004139	outflow tract	XAO:0005210	left side
http://purl.obolibrary.org/obo/XPO_0141380		XAO:0001014	melanophore	XAO:0003217	retinal pigmented epithelium
http://purl.obolibrary.org/obo/XPO_0141381		XAO:0001014	melanophore	XAO:0004063	dorsal fin
http://purl.obolibrary.org/obo/XPO_0141382		XAO:0001014	melanophore	XAO:0000028	epidermis
http://purl.obolibrary.org/obo/XPO_0141383		XAO:0001014	melanophore	XAO:0000179	eye
http://purl.obolibrary.org/obo/XPO_0141384		XAO:0001014	melanophore	XAO:0000188	optic nerve
http://purl.obolibrary.org/obo/XPO_0141385		XAO:0001014	melanophore	XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0141386		XAO:0001014	melanophore	XAO:0000475	optic stalk
		XAO:0000174	skeletal muscle	XAO:0004106	regenerating forelimb
		XAO:0003103	claw	XAO:0004107	regenerating hindlimb
		XAO:0003211	tarsus	XAO:0004107	regenerating hindlimb
		XAO:0003213	tibia-fibula	XAO:0004107	regenerating hindlimb
		XAO:0004049	perichondrium	XAO:0004106	regenerating forelimb
		XAO:0004239	hindlimb digit 1	XAO:0004107	regenerating hindlimb
		XAO:0004299	hand	XAO:0004106	regenerating forelimb
		XAO:0004300	foot	XAO:0004107	regenerating hindlimb
		XAO:0004397	wound epidermis	XAO:0004107	regenerating hindlimb
		XAO:0004412	hindlimb digit 2	XAO:0004107	regenerating hindlimb
		XAO:0004413	hindlimb digit 3	XAO:0004107	regenerating hindlimb
		XAO:0004420	claw of hindlimb digit 4	XAO:0004107	regenerating hindlimb
		XAO:0004421	claw of hindlimb digit 5	XAO:0004107	regenerating hindlimb
		XAO:0004298	hindlimb zeugopod	XAO:0004107	regenerating hindlimb
