defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/XPO_0103847		XAO:0000033	cement gland
http://purl.obolibrary.org/obo/XPO_0103848		XAO:0004417	claw of hindlimb digit 1
http://purl.obolibrary.org/obo/XPO_0103849		XAO:0004418	claw of hindlimb digit 2
http://purl.obolibrary.org/obo/XPO_0103850		XAO:0004419	claw of hindlimb digit 3
http://purl.obolibrary.org/obo/XPO_0103851		XAO:0004420	claw of hindlimb digit 4
http://purl.obolibrary.org/obo/XPO_0103852		XAO:0004421	claw of hindlimb digit 5
http://purl.obolibrary.org/obo/XPO_0103853		XAO:0003214	femur
http://purl.obolibrary.org/obo/XPO_0103854		XAO:0003030	forelimb
http://purl.obolibrary.org/obo/XPO_0103855		XAO:0003065	forelimb bud
http://purl.obolibrary.org/obo/XPO_0103856		XAO:0004299	hand
http://purl.obolibrary.org/obo/XPO_0103857		XAO:0005274	left hindlimb
http://purl.obolibrary.org/obo/XPO_0103858		XAO:0005275	right hindlimb
http://purl.obolibrary.org/obo/XPO_0103859		XAO:0005272	left forelimb
http://purl.obolibrary.org/obo/XPO_0103860		XAO:0005273	right forelimb
http://purl.obolibrary.org/obo/XPO_0103861		XAO:0004295	forelimb stylopod
http://purl.obolibrary.org/obo/XPO_0103862		XAO:0004297	forelimb zeugopod
http://purl.obolibrary.org/obo/XPO_0103863		XAO:0003024	head
http://purl.obolibrary.org/obo/XPO_0103864		XAO:0000064	heart
http://purl.obolibrary.org/obo/XPO_0103865		XAO:0003031	hindlimb
http://purl.obolibrary.org/obo/XPO_0103866		XAO:0003066	hindlimb bud
http://purl.obolibrary.org/obo/XPO_0103867		XAO:0004300	foot
http://purl.obolibrary.org/obo/XPO_0103868		XAO:0000008	lens
http://purl.obolibrary.org/obo/XPO_0103869		XAO:0003064	pelvic girdle
http://purl.obolibrary.org/obo/XPO_0103870		XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103871		XAO:0003026	tail
http://purl.obolibrary.org/obo/XPO_0103872		XAO:0003025	trunk
http://purl.obolibrary.org/obo/XPO_0103873		XAO:0000195	utricle
http://purl.obolibrary.org/obo/XPO_0103874		XAO:0005200	anatomical axis
http://purl.obolibrary.org/obo/XPO_0103875		XAO:0005202	anterior-posterior axis
http://purl.obolibrary.org/obo/XPO_0103876		XAO:0005203	dorsal-ventral axis
http://purl.obolibrary.org/obo/XPO_0103877		XAO:0004296	hindlimb stylopod
http://purl.obolibrary.org/obo/XPO_0103878		XAO:0004298	hindlimb zeugopod
http://purl.obolibrary.org/obo/XPO_0103879		XAO:0005256	left eye
http://purl.obolibrary.org/obo/XPO_0103880		XAO:0005257	right eye
http://purl.obolibrary.org/obo/XPO_0103881		XAO:0005265	dorsal trunk
http://purl.obolibrary.org/obo/XPO_0103882		XAO:0005278	left part of brain
http://purl.obolibrary.org/obo/XPO_0103883		XAO:0005279	right part of brain
