defined_class	defined_class_name	quality	quality_label	anatomical_entity	location
http://purl.obolibrary.org/obo/XPO_0115833		PATO:0000052	shape	XAO:0004107	XAO:0003032
http://purl.obolibrary.org/obo/XPO_0115834		PATO:0000052	shape	XAO:0004107	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0115836		PATO:0000001	quality	XAO:0004106	XAO:0000170
http://purl.obolibrary.org/obo/XPO_0115837		PATO:0000001	quality	XAO:0004107	XAO:0000170
http://purl.obolibrary.org/obo/XPO_0115838		PATO:0000001	quality	XAO:0003211	XAO:0000171
http://purl.obolibrary.org/obo/XPO_0115839		PATO:0000001	quality	XAO:0003031	XAO:0000177
http://purl.obolibrary.org/obo/XPO_0115840		PATO:0000001	quality	XAO:0003066	XAO:0000472
http://purl.obolibrary.org/obo/XPO_0115841		PATO:0000001	quality	XAO:0004107	XAO:0001011
http://purl.obolibrary.org/obo/XPO_0115843		PATO:0000001	quality	XAO:0004108	XAO:0003023
http://purl.obolibrary.org/obo/XPO_0115846		PATO:0000001	quality	XAO:0004106	XAO:0003032
http://purl.obolibrary.org/obo/XPO_0115847		PATO:0000001	quality	XAO:0004107	XAO:0003032
http://purl.obolibrary.org/obo/XPO_0115849		PATO:0000001	quality	XAO:0004107	XAO:0003064
http://purl.obolibrary.org/obo/XPO_0115850		PATO:0000001	quality	XAO:0004107	XAO:0003103
http://purl.obolibrary.org/obo/XPO_0115855		PATO:0000001	quality	XAO:0004107	XAO:0003211
http://purl.obolibrary.org/obo/XPO_0115857		PATO:0000001	quality	XAO:0004311	XAO:0003211
http://purl.obolibrary.org/obo/XPO_0115859		PATO:0000001	quality	XAO:0004107	XAO:0003212
http://purl.obolibrary.org/obo/XPO_0115861		PATO:0000001	quality	XAO:0004107	XAO:0003213
http://purl.obolibrary.org/obo/XPO_0115862		PATO:0000001	quality	XAO:0004107	XAO:0003214
http://purl.obolibrary.org/obo/XPO_0115863		PATO:0000001	quality	XAO:0004107	XAO:0004013
http://purl.obolibrary.org/obo/XPO_0115864		PATO:0000001	quality	XAO:0003066	XAO:0004121
http://purl.obolibrary.org/obo/XPO_0115867		PATO:0000001	quality	XAO:0004107	XAO:0004263
http://purl.obolibrary.org/obo/XPO_0115870		PATO:0000001	quality	XAO:0003030	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0115871		PATO:0000001	quality	XAO:0003031	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0115873		PATO:0000001	quality	XAO:0004106	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0115874		PATO:0000001	quality	XAO:0004107	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0115875		PATO:0000001	quality	XAO:0004311	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0115876		PATO:0000001	quality	XAO:0003214	XAO:0004313
http://purl.obolibrary.org/obo/XPO_0115877		PATO:0000001	quality	XAO:0004106	XAO:0004314
http://purl.obolibrary.org/obo/XPO_0115878		PATO:0000001	quality	XAO:0004107	XAO:0004314
http://purl.obolibrary.org/obo/XPO_0115879		PATO:0000001	quality	XAO:0004265	XAO:0004314
http://purl.obolibrary.org/obo/XPO_0115890		PATO:0000001	quality	XAO:0004298	XAO:0005203
http://purl.obolibrary.org/obo/XPO_0115893		PATO:0000001	quality	XAO:0003031	XAO:0000169
http://purl.obolibrary.org/obo/XPO_0115894		PATO:0000001	quality	XAO:0003031	XAO:0000170
http://purl.obolibrary.org/obo/XPO_0115895		PATO:0000001	quality	XAO:0003031	XAO:0000172
http://purl.obolibrary.org/obo/XPO_0115898		PATO:0000001	quality	XAO:0003213	XAO:0004107
http://purl.obolibrary.org/obo/XPO_0115900		PATO:0000001	quality	XAO:0003214	XAO:0004107
http://purl.obolibrary.org/obo/XPO_0115902		PATO:0000001	quality	XAO:0003031	XAO:0004013
http://purl.obolibrary.org/obo/XPO_0115903		PATO:0000001	quality	XAO:0004106	XAO:0004013
http://purl.obolibrary.org/obo/XPO_0115904		PATO:0000001	quality	XAO:0003066	XAO:0004056
http://purl.obolibrary.org/obo/XPO_0115905		PATO:0000001	quality	XAO:0004121	XAO:0003066
http://purl.obolibrary.org/obo/XPO_0115908		PATO:0000001	quality	XAO:0004107	XAO:0004264
http://purl.obolibrary.org/obo/XPO_0115910		PATO:0000001	quality	XAO:0003031	XAO:0004313
http://purl.obolibrary.org/obo/XPO_0115911		PATO:0000001	quality	XAO:0004298	XAO:0004313
http://purl.obolibrary.org/obo/XPO_0115920		PATO:0000462	absent	XAO:0004106	XAO:0000174
http://purl.obolibrary.org/obo/XPO_0115922		PATO:0000462	absent	XAO:0004107	XAO:0003103
http://purl.obolibrary.org/obo/XPO_0115923		PATO:0000462	absent	XAO:0004107	XAO:0003211
http://purl.obolibrary.org/obo/XPO_0115925		PATO:0000462	absent	XAO:0004107	XAO:0003213
http://purl.obolibrary.org/obo/XPO_0115928		PATO:0000462	absent	XAO:0004106	XAO:0004049
http://purl.obolibrary.org/obo/XPO_0115930		PATO:0000462	absent	XAO:0004107	XAO:0004239
http://purl.obolibrary.org/obo/XPO_0115934		PATO:0000462	absent	XAO:0004106	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0115935		PATO:0000462	absent	XAO:0004107	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0115936		PATO:0000462	absent	XAO:0004239	XAO:0004314
http://purl.obolibrary.org/obo/XPO_0115937		PATO:0000462	absent	XAO:0004412	XAO:0004314
http://purl.obolibrary.org/obo/XPO_0115938		PATO:0000462	absent	XAO:0004413	XAO:0004314
http://purl.obolibrary.org/obo/XPO_0115939		PATO:0000462	absent	XAO:0004414	XAO:0004314
http://purl.obolibrary.org/obo/XPO_0115940		PATO:0000462	absent	XAO:0004415	XAO:0004314
http://purl.obolibrary.org/obo/XPO_0115941		PATO:0000462	absent	XAO:0004107	XAO:0004397
http://purl.obolibrary.org/obo/XPO_0115942		PATO:0000462	absent	XAO:0004107	XAO:0004412
http://purl.obolibrary.org/obo/XPO_0115943		PATO:0000462	absent	XAO:0004107	XAO:0004413
http://purl.obolibrary.org/obo/XPO_0115945		PATO:0000462	absent	XAO:0004107	XAO:0004420
http://purl.obolibrary.org/obo/XPO_0115946		PATO:0000462	absent	XAO:0004107	XAO:0004421
http://purl.obolibrary.org/obo/XPO_0115964		PATO:0000470	increased amount	XAO:0000028	XAO:0000472
http://purl.obolibrary.org/obo/XPO_0115980		PATO:0000470	increased amount	XAO:0004107	XAO:0004489
http://purl.obolibrary.org/obo/XPO_0115982		PATO:0000574	decreased length	XAO:0004107	XAO:0003032
http://purl.obolibrary.org/obo/XPO_0115983		PATO:0000574	decreased length	XAO:0004107	XAO:0003211
http://purl.obolibrary.org/obo/XPO_0115985		PATO:0000574	decreased length	XAO:0004107	XAO:0003213
http://purl.obolibrary.org/obo/XPO_0115987		PATO:0000574	decreased length	XAO:0004107	XAO:0003214
http://purl.obolibrary.org/obo/XPO_0115988		PATO:0000574	decreased length	XAO:0004239	XAO:0004059
http://purl.obolibrary.org/obo/XPO_0115989		PATO:0000574	decreased length	XAO:0004412	XAO:0004059
http://purl.obolibrary.org/obo/XPO_0115990		PATO:0000574	decreased length	XAO:0004413	XAO:0004059
http://purl.obolibrary.org/obo/XPO_0115991		PATO:0000574	decreased length	XAO:0004414	XAO:0004059
http://purl.obolibrary.org/obo/XPO_0115992		PATO:0000574	decreased length	XAO:0004415	XAO:0004059
http://purl.obolibrary.org/obo/XPO_0115998		PATO:0000587	decreased size	XAO:0004311	XAO:0003211
http://purl.obolibrary.org/obo/XPO_0116004		PATO:0000595	increased volume	XAO:0004106	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0116006		PATO:0000600	increased width	XAO:0004107	XAO:0004489
http://purl.obolibrary.org/obo/XPO_0116009		PATO:0000625	inverted	XAO:0004298	XAO:0005203
http://purl.obolibrary.org/obo/XPO_0116010		PATO:0000625	inverted	XAO:0003031	XAO:0004313
http://purl.obolibrary.org/obo/XPO_0116039		PATO:0000763	paralysed	XAO:0003030	XAO:0000172
http://purl.obolibrary.org/obo/XPO_0116040		PATO:0000763	paralysed	XAO:0003031	XAO:0000172
http://purl.obolibrary.org/obo/XPO_0116047		PATO:0001201	Y-shaped	XAO:0004107	XAO:0003214
http://purl.obolibrary.org/obo/XPO_0116048		PATO:0001201	Y-shaped	XAO:0004107	XAO:0004489
http://purl.obolibrary.org/obo/XPO_0116049		PATO:0001450	edematous	XAO:0000113	XAO:0000299
http://purl.obolibrary.org/obo/XPO_0116073		PATO:0001473	duplicated	XAO:0000179	XAO:0005006
http://purl.obolibrary.org/obo/XPO_0116079		PATO:0001654	misaligned with	XAO:0005038	XAO:0003015
http://purl.obolibrary.org/obo/XPO_0116080		PATO:0001784	bifurcated	XAO:0004107	XAO:0001011
http://purl.obolibrary.org/obo/XPO_0116081		PATO:0001784	bifurcated	XAO:0004107	XAO:0003211
http://purl.obolibrary.org/obo/XPO_0116086		PATO:0001873	cylindrical	XAO:0004107	XAO:0003213
http://purl.obolibrary.org/obo/XPO_0116087		PATO:0001879	U-shaped	XAO:0003031	XAO:0003213
http://purl.obolibrary.org/obo/XPO_0116091		PATO:0001958	increased variability of size	XAO:0003012	XAO:0000090
http://purl.obolibrary.org/obo/XPO_0116099		PATO:0001997	decreased amount	XAO:0003030	XAO:0000172
http://purl.obolibrary.org/obo/XPO_0116100		PATO:0001997	decreased amount	XAO:0003031	XAO:0000172
http://purl.obolibrary.org/obo/XPO_0116102		PATO:0001997	decreased amount	XAO:0003030	XAO:0003032
http://purl.obolibrary.org/obo/XPO_0116103		PATO:0001997	decreased amount	XAO:0003031	XAO:0003032
http://purl.obolibrary.org/obo/XPO_0116104		PATO:0001997	decreased amount	XAO:0004107	XAO:0003032
http://purl.obolibrary.org/obo/XPO_0116105		PATO:0001997	decreased amount	XAO:0003031	XAO:0003035
http://purl.obolibrary.org/obo/XPO_0116106		PATO:0001997	decreased amount	XAO:0004107	XAO:0003035
http://purl.obolibrary.org/obo/XPO_0116109		PATO:0001997	decreased amount	XAO:0004107	XAO:0003103
http://purl.obolibrary.org/obo/XPO_0116110		PATO:0001997	decreased amount	XAO:0003031	XAO:0003212
http://purl.obolibrary.org/obo/XPO_0116113		PATO:0001997	decreased amount	XAO:0003225	XAO:0004098
http://purl.obolibrary.org/obo/XPO_0116116		PATO:0001997	decreased amount	XAO:0003030	XAO:0004276
http://purl.obolibrary.org/obo/XPO_0116117		PATO:0001997	decreased amount	XAO:0003031	XAO:0004276
http://purl.obolibrary.org/obo/XPO_0116118		PATO:0001997	decreased amount	XAO:0000064	XAO:0004469
http://purl.obolibrary.org/obo/XPO_0116121		PATO:0001999	lacks parts or has fewer parts of type	XAO:0004107	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0116125		PATO:0002001	has fewer parts of type	XAO:0004311	XAO:0003032
http://purl.obolibrary.org/obo/XPO_0116126		PATO:0002001	has fewer parts of type	XAO:0004107	XAO:0003035
http://purl.obolibrary.org/obo/XPO_0116129		PATO:0002001	has fewer parts of type	XAO:0004311	XAO:0004012
http://purl.obolibrary.org/obo/XPO_0116133		PATO:0002001	has fewer parts of type	XAO:0004106	XAO:0004314
http://purl.obolibrary.org/obo/XPO_0116135		PATO:0002002	has extra parts of type	XAO:0004107	XAO:0003032
http://purl.obolibrary.org/obo/XPO_0116136		PATO:0002002	has extra parts of type	XAO:0004107	XAO:0003035
http://purl.obolibrary.org/obo/XPO_0116137		PATO:0002002	has extra parts of type	XAO:0003031	XAO:0004264
http://purl.obolibrary.org/obo/XPO_0116138		PATO:0002002	has extra parts of type	XAO:0003031	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0116139		PATO:0002021	conical	XAO:0004106	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0116140		PATO:0002021	conical	XAO:0004107	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0116154		PATO:0002283	decreased mobility	XAO:0005008	XAO:0000031
http://purl.obolibrary.org/obo/XPO_0116155		PATO:0002283	decreased mobility	XAO:0005008	XAO:0005139
http://purl.obolibrary.org/obo/XPO_0116156		PATO:0002285	increased branchiness	XAO:0004106	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0116157		PATO:0002312	segmented	XAO:0004106	XAO:0004265
http://purl.obolibrary.org/obo/XPO_0116158		PATO:0002334	decreased adhesivity	XAO:0003248	XAO:0000093
http://purl.obolibrary.org/obo/XPO_0116159		PATO:0002334	decreased adhesivity	XAO:0003012	XAO:0000232
http://purl.obolibrary.org/obo/XPO_0116160		PATO:0002364	shortened	XAO:0004108	XAO:0003023
http://purl.obolibrary.org/obo/XPO_0116168		PATO:0005020	irregularly shaped	XAO:0003249	XAO:0004513
