defined_class	defined_class_label	entity	entity_label	location	location_label
http://purl.obolibrary.org/obo/XPO_0103814		XAO:0005015	axon	XAO:0004100	retinal ganglion cell
http://purl.obolibrary.org/obo/XPO_0103815		XAO:0005008	cilium	XAO:0000094	gastrocoel roof plate
http://purl.obolibrary.org/obo/XPO_0103816		XAO:0004239	hindlimb digit 1	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103817		XAO:0004412	hindlimb digit 2	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103818		XAO:0004413	hindlimb digit 3	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103819		XAO:0004414	hindlimb digit 4	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103820		XAO:0004415	hindlimb digit 5	XAO:0004107	regenerating hindlimb
http://purl.obolibrary.org/obo/XPO_0103821		XAO:0004478	forelimb digit 2	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103822		XAO:0004479	forelimb digit 3	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103823		XAO:0004480	forelimb digit 4	XAO:0004106	regenerating forelimb
http://purl.obolibrary.org/obo/XPO_0103824		XAO:0004481	forelimb digit 5	XAO:0004106	regenerating forelimb
